nombre,nombre_corto,apellido,nac_fecha,edad,nac_lugar,prov,prov_grid,prov_corto,puesto,equipo,pais,pais_corto,pj,goles,goles_scaloni,mj,jugo_mundial,m_list,altura,carita
Emiliano Martínez,E. Martínez,Martínez,2/9/1992,30,Mar del Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Aston Villa,United Kingdom,ING,18,-7,0,0,0,,1.95,https://public.flourish.studio/uploads/1654878/8f7a96a9-e64a-47c2-ab2b-46ffd1798289.png
Franco Armani,F. Armani,Armani,16/10/1986,36,Casilda,Santa Fe,Santa Fe,SF,Arquero,River Plate,Argentina,ARG,18,-18,0,1,1,Rusia 2018,1.89,https://public.flourish.studio/uploads/1654878/a218ac4f-554c-48c5-8575-29dd1bfcc4bc.png
Gerónimo Rulli,G. Rulli,Rulli,20/5/1992,30,La Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Villarreal,Spain,ESP,4,-1,0,0,0,,1.89,https://public.flourish.studio/uploads/1654878/e1092e9d-1ce7-43d8-87eb-cf3417de9219.png
Gonzalo Montiel,G. Montiel,Montiel,1/1/1997,25,González Catán,GBA,Buenos Aires,GBA,Defensor,Sevilla,Spain,ESP,18,0,0,0,0,,1.76,https://public.flourish.studio/uploads/1654878/2d186c51-d4da-4922-95ec-2bb117d7a97a.png
Cristian Romero,C. Romero,C. Romero,27/4/1998,24,Córdoba,Córdoba,Córdoba,COR,Defensor,Tottenham,United Kingdom,ING,12,1,1,0,0,,1.85,https://public.flourish.studio/uploads/1654878/fc49efcb-73c1-4201-9f21-f0625bcb78b0.png
Germán Pezzella,G. Pezzella,Pezzella,27/6/1991,31,Bahía Blanca,Bs. As. (s/ GBA),Buenos Aires,BA,Defensor,Real Betis,Spain,ESP,29,2,2,0,0,,1.87,https://public.flourish.studio/uploads/1654878/66c931f1-136c-46a9-94a0-9c0bb13b7621.png
Nicolás Otamendi,N. Otamendi,Otamendi,12/2/1988,34,CABA,CABA,CABA,CABA,Defensor,Benfica,Portugal,POR,91,4,0,2,1,Sudáfrica 2010 - Rusia 2018,1.83,https://public.flourish.studio/uploads/1654878/99088e01-7f89-4dc2-a1dc-2ad876ca6e34.png
Lisandro Martínez,Li. Martínez,L. Martínez,18/1/1998,24,Gualeguay,Entre Ríos,Entre Ríos,ER,Defensor,Man. United,United Kingdom,ING,8,0,0,0,0,,1.75,https://public.flourish.studio/uploads/1654878/70e54cba-fabe-4f1d-be60-956dc78a6ec3.png
Marcos Acuña,M. Acuña,Acuña,28/10/1991,31,Zapala,Neuquén,Neuquén,NQN,Defensor,Sevilla,Spain,ESP,42,0,0,1,1,Rusia 2018,1.72,https://public.flourish.studio/uploads/1654878/33b0328b-3930-401f-a56e-e911ee12a24a.png
Nicolás Tagliafico,N. Tagliafico,Tagliafico,31/8/1992,30,Rafael Calzada,GBA,Buenos Aires,GBA,Defensor,Lyon,France,FRA,42,0,0,1,1,Rusia 2018,1.72,https://public.flourish.studio/uploads/1654878/5dd7fd12-219c-4b37-a575-3450f74d05e4.png
Juan Foyth,J. Foyth,Foyth,12/1/1998,24,La Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Defensor,Villarreal,Spain,ESP,15,0,0,0,0,,1.87,https://public.flourish.studio/uploads/1654878/bfaed297-5853-4336-bd81-4e415aa7d060.png
Nahuel Molina,N. Molina,Molina,6/4/1998,24,Embalse,Córdoba,Córdoba,COR,Defensor,A. Madrid,Spain,ESP,18,2,2,0,0,,1.75,https://public.flourish.studio/uploads/1654878/3de3b4f9-be13-4176-a823-35111181999f.png
Rodrigo De Paul,R. De Paul,De Paul,24/5/1994,28,Sarandí,Bs. As. (s/ GBA),Buenos Aires,BA,Mediocampista,A. Madrid,Spain,ESP,43,2,2,0,0,,1.8,https://public.flourish.studio/uploads/1654878/989b8a90-587a-4585-b809-57863adf40fc.png
Leandro Paredes,L. Paredes,Paredes,29/6/1994,28,San Justo,GBA,Buenos Aires,GBA,Mediocampista,Juventus,Italy,ITA,45,4,3,0,0,,1.8,https://public.flourish.studio/uploads/1654878/59abd10c-8a79-47cb-b4cf-b75d2da86523.png
Alexis Mac Allister,A. Mac Allister,Mac Allister,24/12/1998,23,Santa Rosa,La Pampa,La Pampa,LP,Mediocampista,Brighton,United Kingdom,ING,7,0,0,0,0,,1.74,https://public.flourish.studio/uploads/1654878/cdde1190-628f-4827-9349-31393e0b20be.png
Guido Rodríguez,G. Rodríguez,Rodríguez,12/4/1994,28,Sáenz Peña,GBA,Buenos Aires,GBA,Mediocampista,Real Betis,Spain,ESP,24,1,1,0,0,,1.85,https://public.flourish.studio/uploads/1654878/164b0605-2c93-42f0-ad4e-14bdade435e1.png
Alejandro Gómez,Papu Gómez,Gómez,15/2/1988,34,CABA,CABA,CABA,CABA,Mediocampista,Sevilla,Spain,ESP,15,3,2,0,0,,1.67,https://public.flourish.studio/uploads/1654878/2c2a94a4-443c-46bf-8012-60964697d113.png
Enzo Fernández,E. Fernández,Fernández,17/1/2001,21,San Martín,GBA,Buenos Aires,GBA,Mediocampista,Benfica,Portugal,POR,2,0,0,0,0,,1.78,https://public.flourish.studio/uploads/1654878/01a57f24-8d4c-42d1-864c-c70a938e03b9.png
Exequiel Palacios,E. Palacios,Palacios,5/10/1998,24,Famaillá,Tucumán,Tucumán,TUC,Mediocampista,Leverkusen,Germany,ALE,19,0,0,0,0,,1.77,https://public.flourish.studio/uploads/1654878/1f18f66a-3526-4f26-8a9d-cfacc33ebd82.png
Lionel Messi,L. Messi,Messi,24/6/1987,35,Rosario,Santa Fe,Santa Fe,SF,Delantero,PSG,France,FRA,164,90,25,4,1,Alemania 2006 - Sudáfrica 2010 - Brasil 2014 - Rusia 2018,1.7,https://public.flourish.studio/uploads/1654878/99f345db-33d2-4018-93cc-87c597e0dd2b.png
Lautaro Martínez,La. Martínez,La. Martínez,22/8/1997,25,Bahía Blanca,Bs. As. (s/ GBA),Buenos Aires,BA,Delantero,Inter,Italy,ITA,40,21,21,0,0,,1.74,https://public.flourish.studio/uploads/1654878/1a6869c5-fbf1-4b79-96da-dba665d34e11.png
Ángel Di María,Á. Di María,Di María,14/2/1988,34,Rosario,Santa Fe,Santa Fe,SF,Delantero,Juventus,Italy,ITA,124,25,5,3,1,Sudáfrica 2010 - Brasil 2014 - Rusia 2018,1.8,https://public.flourish.studio/uploads/1654878/bd4f502a-d132-4d73-96ca-5850bb1c322c.png
Paulo Dybala,P. Dybala,Dybala,15/11/1993,28,Laguna Larga,Córdoba,Córdoba,COR,Delantero,Roma,Italy,ITA,34,3,3,1,1,Rusia 2018,1.77,https://public.flourish.studio/uploads/1654878/0869a75a-5ad4-48c2-a379-31f8b8e566dc.png
Julián Álvarez,J. Álvarez,Álvarez,31/1/2000,22,Calchín,Córdoba,Córdoba,COR,Delantero,Man. City,United Kingdom,ING,11,2,2,0,0,,1.7,https://public.flourish.studio/uploads/1654878/5572ea03-69e1-4dc0-91da-c7ef7be7e186.png
Ángel Correa,Á. Correa,Á. Correa,9/3/1995,27,Rosario,Santa Fe,Santa Fe,SF,Mediocampista,A. Madrid,Spain,ESP,22,3,2,0,0,,1.71,https://public.flourish.studio/uploads/1654878/0f0bf876-3786-429d-a201-bd37c2097c80.png
Thiago Almada,T. Almada,Almada,26/4/2001,21,CABA,CABA,CABA,CABA,Mediocampista,Atlanta United,United States,EUA,1,0,0,0,0,,1.71,https://public.flourish.studio/uploads/1654878/d326e14d-93ad-4cdf-a60c-b13675f57532.png